Date,Price
27-09-2018,72.12000275
28-09-2018,73.25
01-10-2018,75.30000305
02-10-2018,75.23000336
03-10-2018,76.41000366
04-10-2018,74.33000183
05-10-2018,74.33999634
08-10-2018,74.29000092
09-10-2018,74.95999908
10-10-2018,73.16999817
11-10-2018,70.97000122
12-10-2018,71.33999634
15-10-2018,71.77999878
16-10-2018,71.91999817
17-10-2018,69.75
18-10-2018,68.65000153
19-10-2018,69.12000275
22-10-2018,69.16999817
23-10-2018,66.43000031
24-10-2018,66.81999969
25-10-2018,67.33000183
26-10-2018,67.58999634
29-10-2018,67.04000092
30-10-2018,66.18000031
31-10-2018,65.30999756
01-11-2018,63.68999863
02-11-2018,63.13999939
05-11-2018,63.09999847
06-11-2018,62.20999908
07-11-2018,61.66999817
08-11-2018,60.66999817
09-11-2018,60.18999863
12-11-2018,59.93000031
13-11-2018,55.68999863
14-11-2018,56.25
15-11-2018,56.45999908
16-11-2018,56.45999908
19-11-2018,56.75999832
20-11-2018,53.43000031
21-11-2018,54.63000107
22-11-2018,52.52499962
23-11-2018,50.41999817
26-11-2018,51.63000107
27-11-2018,51.56000137
28-11-2018,50.29000092
29-11-2018,51.45000076
30-11-2018,50.93000031
03-12-2018,52.95000076
04-12-2018,53.25
05-12-2018,52.37000084
06-12-2018,51.49000168
07-12-2018,52.61000061
10-12-2018,51
11-12-2018,51.65000153
12-12-2018,51.15000153
13-12-2018,52.58000183
14-12-2018,51.20000076
17-12-2018,49.88000107
18-12-2018,46.24000168
19-12-2018,47.20000076
20-12-2018,45.88000107
21-12-2018,45.59000015
24-12-2018,42.52999878
25-12-2018,44.375
26-12-2018,46.22000122
27-12-2018,44.61000061
28-12-2018,45.33000183
31-12-2018,45.40999985
01-01-2019,45.97500038
02-01-2019,46.54000092
03-01-2019,47.09000015
04-01-2019,47.95999908
07-01-2019,48.52000046
08-01-2019,49.77999878
09-01-2019,52.36000061
10-01-2019,52.59000015
11-01-2019,51.59000015
14-01-2019,50.50999832
15-01-2019,52.11000061
16-01-2019,52.31000137
17-01-2019,52.06999969
18-01-2019,53.79999924
22-01-2019,52.56999969
23-01-2019,52.61999893
24-01-2019,53.13000107
25-01-2019,53.68999863
28-01-2019,51.99000168
29-01-2019,53.31000137
30-01-2019,54.22999954
31-01-2019,53.79000092
01-02-2019,55.25999832
04-02-2019,54.56000137
05-02-2019,53.65999985
06-02-2019,54.00999832
